TreeID,DBH,PlotSize,Latitude,Longitude,species
18680.0,10.0,other,37.7486143110022,-122.427245115077,Lophostemon
4707.0,45.0,3x3,37.7907634327304,-122.41854743611,Platanus
5204.0,7.0,other,37.7629599086871,-122.41518894402,other
18856.0,3.0,3x3,37.7773859294292,-122.438387950593,Pyrus
248942.0,7.0,other,37.7610355717565,-122.421621166906,Platanus
13638.0,4.0,other,37.761418494979296,-122.42826674581998,Magnolia
242524.0,11.0,3x3,37.77504171494321,-122.40144725460199,Platanus
15241.0,5.0,3x3,37.7919879109555,-122.434546304291,Pyrus
240412.0,10.0,other,37.7783317443601,-122.40556550564501,Platanus
229041.0,12.0,3x3,37.790403357673895,-122.434214763813,Ficus
2880.0,17.0,other,37.7674929441754,-122.431842705671,other
242532.0,7.0,3x3,37.779118033309395,-122.406213398837,Platanus
